timestamp,subscription_id,resource_group,region,service_type,units_used,provision_capacity,cost_use,availability,external_holiday,internal_maintenance,forecast
2024-12-14,sub-41749,rg-790,East US,Storage Account,846,1000,5.91,93.03,0,0,793.97144
2025-03-30,sub-77492,rg-877,North Europe,Cosmos DB,879,1039,39.63,94.31,0,0,830.5435
2022-10-28,sub-39341,rg-980,Central US,Storage Account,557,867,15.21,93.02,0,0,612.16644
2021-05-02,sub-24121,rg-329,Central US,Storage Account,639,753,35.35,92.97,0,0,499.37036
2021-02-07,sub-94098,rg-733,West US,Virtual Machine,607,948,42.15,90.6,0,0,697.9873
2024-09-17,sub-77341,rg-572,East US,Virtual Machine,737,996,25.44,91.84,0,0,773.6855
2024-02-03,sub-91199,rg-792,Central US,APP SERVICE,324,707,16.69,96.77,0,0,398.392
2021-07-26,sub-33283,rg-824,Southeast Asia,SQL Database,777,850,29.44,90.12,0,0,670.74506
2022-08-06,sub-84713,rg-493,North Europe,Storage Account,362,592,3.11,93.91,0,1,337.79926
2021-12-18,sub-37548,rg-357,North Europe,Virtual Machine,456,833,5.51,94.18,0,0,568.90186
2022-09-16,sub-57929,rg-922,North Europe,App Service,48,299,18.63,99.83,0,0,237.1323
2022-01-16,sub-24497,rg-861,East US,Storage Account,665,1076,41.78,92.23,1,0,788.3171
2025-09-19,sub-45874,rg-644,WEST US,App Service,926,1136,49.14,95.39,0,0,857.06055
2025-02-20,sub-96227,rg-644,East US,VIRTUAL MACHINE,318,325,49.73,98.42,1,0,272.83984
2025-05-16,sub-11160,rg-696,Southeast Asia,Functions,802,916,25.27,90.12,1,0,661.2834
2025-06-27,sub-97394,rg-639,North Europe,Virtual Machine,98,241,26.08,99.44,0,0,108.60366
2021-07-24,sub-24670,rg-540,Southeast Asia,SQL DATABASE,86,138,41.53,90.87,0,0,73.18775
2024-10-08,sub-45948,rg-612,central us,Functions,421,745,8.93,90.56,0,0,476.8505
2025-04-05,sub-93772,rg-899,West Europe,STORAGE ACCOUNT,765,848,38.83,91.93,0,0,669.9967
2024-08-15,sub-78829,rg-335,east us,FUNCTIONS,233,624,8.97,98.92,0,0,359.11658
2022-12-03,sub-20464,rg-555,Central US,Functions,343,539,11.72,94.27,1,0,293.39325
2025-07-25,sub-95072,rg-604,West US,Virtual Machine,222,352,19.58,92.6,0,0,186.73753
2023-03-25,sub-65142,rg-508,East US,Storage Account,833,1043,16.5,93.58,0,0,799.85114
2024-03-31,sub-88724,rg-881,Central US,SQL Database,293,334,25.58,94.52,0,0,169.26477
2023-11-25,sub-37329,rg-223,Central US,Cosmos DB,488,699,4.89,94.78,0,0,466.19205
2022-08-13,sub-98512,rg-750,Southeast Asia,App Service,774,1222,23.71,96.55,0,0,858.3538
2024-09-01,sub-48730,rg-853,Southeast Asia,Functions,890,947,39.06,99.04,0,0,683.774
2021-12-17,sub-70688,rg-340,Southeast Asia,SQL Database,228,503,6.24,99.1,1,0,231.86856
2025-12-03,sub-36847,rg-801,East US,virtual machine,43,402,2.87,91.8,0,0,112.92052
2024-09-04,sub-40805,rg-897,central us,SQL Database,161,594,39.15,93.18,0,0,282.35947
2024-02-20,sub-26048,rg-551,Central US,Storage Account,782,835,17.75,98.85,0,0,622.94653
2025-02-01,sub-12783,rg-385,Southeast Asia,SQL Database,989,1143,12.73,98.95,0,0,831.88226
2024-03-16,sub-54131,rg-124,West Europe,Storage Account,711,797,31.07,90.18,0,0,560.9008
2023-07-14,sub-57744,rg-520,Southeast Asia,SQL Database,296,764,31.2,96.66,0,0,482.80716
2022-11-08,sub-99178,rg-979,Southeast Asia,Cosmos DB,330,555,36.43,96.51,0,0,305.69073
2023-11-16,sub-59647,rg-421,West US,SQL Database,104,480,30.94,90.25,0,0,226.4915
2022-01-31,sub-30279,rg-955,West US,Functions,815,822,26.9,96.93,0,0,651.1268
2021-05-15,sub-21437,rg-196,West Europe,APP SERVICE,308,596,35.51,94.29,0,0,300.4061
2023-08-14,sub-15015,rg-529,West Europe,Storage Account,590,1036,47.27,94.08,0,0,790.96783
2024-06-18,sub-92293,rg-427,West US,App Service,444,866,7.51,90.26,0,0,552.98206
2025-08-07,sub-86216,rg-727,Central US,VIRTUAL MACHINE,897,899,18.49,91.71,0,0,639.0118
2023-01-28,sub-22036,rg-147,Central US,SQL Database,603,814,21.3,98.41,0,0,558.7293
2025-08-23,sub-48111,rg-905,East US,Functions,542,622,7.06,94.34,0,0,382.7033
2025-12-11,sub-42056,rg-635,Central US,Storage Account,202,584,27.84,97.19,0,0,290.15518
2025-10-15,sub-57525,rg-496,WEST EUROPE,Functions,17,144,34.12,95.06,0,0,83.02038
2022-09-04,sub-60592,rg-456,East US,STORAGE ACCOUNT,52,214,0.31,96.39,0,0,86.451645
2023-08-04,sub-97581,rg-670,East US,virtual machine,956,980,24.47,97.55,0,0,847.8789
2021-07-25,sub-39008,rg-843,Central US,Storage Account,284,568,28.49,97.22,0,0,325.35223
2025-10-23,sub-98645,rg-317,Southeast Asia,Virtual Machine,558,940,48.86,99.85,0,0,686.81775
2021-09-20,sub-25266,rg-332,West US,App Service,407,422,37.34,95.42,0,0,245.07724
2023-06-05,sub-78568,rg-421,North Europe,App Service,69,188,20.09,95.87,0,0,94.24674
2023-05-16,sub-75605,rg-942,East US,App Service,692,839,0.49,90.8,0,0,616.7579
2023-11-03,sub-80694,rg-658,North Europe,SQL Database,305,425,17.1,94.7,0,0,250.16328
2025-11-28,sub-76611,rg-235,North Europe,Cosmos DB,931,1087,25.79,90.56,0,0,797.2249
2021-07-28,sub-26626,rg-116,East US,Virtual Machine,375,564,32.01,90.73,0,0,296.27103
2021-10-07,sub-60020,rg-126,southeast asia,SQL Database,95,510,44.72,97.8,1,0,135.44241
2024-12-29,sub-67455,rg-259,Southeast Asia,Functions,151,166,14.49,90.54,0,0,99.45232
2021-01-23,sub-34206,rg-408,Central US,Cosmos DB,993,1270,16.79,96.52,0,0,884.57874
2021-05-15,sub-82479,rg-668,North Europe,App Service,343,801,40.84,97.66,0,1,577.6104
2022-06-14,sub-44429,rg-243,Central US,Storage Account,40,308,27.91,99.23,0,0,142.43509
2023-01-20,sub-47889,rg-779,Southeast Asia,COSMOS DB,508,641,34.79,97.22,0,0,398.27478
2022-03-15,sub-51021,rg-433,West US,Virtual Machine,706,1107,42.48,91.49,0,0,738.3107
2021-02-18,sub-83259,rg-967,West Europe,App Service,278,421,17.96,94.37,0,0,255.14001
2024-09-15,sub-75602,rg-520,East US,Virtual Machine,547,645,5.79,95.76,0,0,434.6203
2022-11-26,sub-52581,rg-827,CENTRAL US,Virtual Machine,991,1018,28.86,90.46,0,0,821.0287
2021-09-23,sub-21698,rg-415,North Europe,App Service,953,1169,15.2,94.9,0,1,865.03815
2023-07-18,sub-92930,rg-791,North Europe,Storage Account,987,1329,4.74,98.51,0,0,911.83203
2024-11-01,sub-69235,rg-176,East US,Storage Account,720,797,24.38,98.84,0,0,539.7691
2023-06-03,sub-68825,rg-143,WEST US,SQL Database,100,291,2.77,99.65,0,0,127.14835
2023-01-16,sub-45787,rg-500,East US,Virtual Machine,999,1230,14.21,93.78,0,0,913.0759
2024-03-15,sub-61647,rg-885,West Europe,cosmos db,291,780,38.7,97.61,0,0,454.22614
2021-08-04,sub-43949,rg-605,West Europe,App Service,372,676,43.14,97.45,0,0,422.38086
2024-01-23,sub-97564,rg-536,North Europe,Functions,336,503,38.86,97.7,0,0,259.40332
2024-07-22,sub-90661,rg-623,Southeast Asia,SQL Database,754,940,8.45,96.69,0,0,679.9121
2025-07-11,sub-28307,rg-920,West Europe,Virtual Machine,911,1187,40.1,96.42,0,0,850.6136
2021-07-20,sub-88239,rg-363,West US,sql database,413,490,3.31,98.49,0,0,282.3603
2022-08-19,sub-93841,rg-842,West Europe,Storage Account,163,373,34.22,95.05,0,1,176.42047
2024-05-02,sub-74443,rg-459,North Europe,Cosmos DB,201,642,7.74,93.1,0,0,398.63318
2024-06-27,sub-51426,rg-380,North Europe,Functions,91,194,45.59,92.35,0,0,95.93597
2022-04-13,sub-21120,rg-970,Central US,Functions,942,1281,8.03,99.09,0,0,899.0118
2025-02-07,sub-12356,rg-926,Central US,Functions,171,624,17.74,90.05,1,0,301.93704
2022-01-04,sub-66507,rg-751,Central US,App Service,14,188,47.91,92.97,0,0,91.23641
2023-02-02,sub-13896,rg-609,Southeast Asia,Virtual Machine,731,782,42.65,98.57,0,0,627.4164
2022-08-15,sub-70556,rg-806,Central US,Virtual Machine,931,933,47.0,92.86,0,0,783.86304
2023-07-12,sub-15470,rg-430,SOUTHEAST ASIA,SQL Database,736,852,27.53,94.32,0,0,641.13696
2022-05-01,sub-41028,rg-883,Southeast Asia,Cosmos DB,294,779,41.5,99.45,0,0,428.47214
2023-05-15,sub-83665,rg-876,Central US,SQL Database,508,538,48.51,93.94,0,0,327.69263
2024-07-11,sub-49248,rg-351,East US,Cosmos DB,98,145,20.96,92.46,0,0,80.71516
2025-11-14,sub-47784,rg-397,North Europe,SQL Database,230,727,35.19,97.48,0,0,415.5174
2021-10-17,sub-91080,rg-430,East US,Functions,477,629,26.76,95.26,1,0,378.4189
2025-10-13,sub-20733,rg-558,West US,Storage Account,580,689,9.91,97.49,0,0,508.80438
2022-09-27,sub-63954,rg-793,WEST US,cosmos db,875,1148,49.66,95.66,0,0,785.18524
2021-07-05,sub-60388,rg-921,West US,APP SERVICE,584,608,19.4,90.73,1,0,384.07477
2024-10-11,sub-62449,rg-449,Central US,virtual machine,953,1396,37.23,93.29,0,0,935.565
2022-12-25,sub-69314,rg-477,West US,virtual machine,923,1188,1.32,91.49,0,0,867.58246
